Date,Max_temp
2018-01-01,35.4
2018-01-02,35.2
2018-01-03,35.0
2018-01-04,33.9
2018-01-05,32.9
2018-01-06,35.2
2018-01-07,35.3
2018-01-08,34.26
2018-01-09,32.8
2018-01-10,33.9
2018-01-11,35.3
2018-01-12,35.7
2018-01-13,35.0
2018-01-14,35.1
2018-01-15,34.6
2018-01-16,35.6
2018-01-17,36.1
2018-01-18,35.9
2018-01-19,36.0
2018-01-20,35.3
2018-01-21,35.9
2018-01-22,35.0
2018-01-23,34.4
2018-01-24,34.9
2018-01-25,34.9
2018-01-26,36.0
2018-01-27,34.9
2018-01-28,35.1
2018-01-29,35.3
2018-01-30,35.7
2018-01-31,36.0
2018-02-01,36.0
2018-02-02,35.9
2018-02-03,36.0
2018-02-04,35.9
2018-02-05,35.4
2018-02-06,35.2
2018-02-07,35.8
2018-02-08,32.8
2018-02-09,35.9
2018-02-10,35.3
2018-02-11,33.2
2018-02-12,34.6
2018-02-13,34.9
2018-02-14,35.6
2018-02-15,35.9
2018-02-16,35.1
2018-02-17,35.9
2018-02-18,36.7
2018-02-19,36.6
2018-02-20,36.2
2018-02-21,36.1
2018-02-22,37.4
2018-02-23,37.2
2018-02-24,37.8
2018-02-25,37.3
2018-02-26,37.5
2018-02-27,37.8
2018-02-28,38.7
2018-03-01,39.0
2018-03-02,38.1
2018-03-03,38.8
2018-03-04,39.5
2018-03-05,37.8
2018-03-06,38.2
2018-03-07,38.3
2018-03-08,38.4
2018-03-09,38.0
2018-03-10,37.9
2018-03-11,38.3
2018-03-12,37.5
2018-03-13,37.9
2018-03-14,39.3
2018-03-15,39.9
2018-03-16,37.8
2018-03-17,32.1
2018-03-18,35.3
2018-03-19,37.8
2018-03-20,37.9
2018-03-21,39.3
2018-03-22,38.9
2018-03-23,38.7
2018-03-24,40.3
2018-03-25,40.3
2018-03-26,37.8
2018-03-27,40.3
2018-03-28,40.7
2018-03-29,41.9
2018-03-30,41.0
2018-03-31,40.3
2018-04-01,38.0
2018-04-02,38.0
2018-04-03,38.0
2018-04-04,39.0
2018-04-05,38.4
2018-04-06,37.9
2018-04-07,38.3
2018-04-08,38.6
2018-04-09,37.2
2018-04-10,37.8
2018-04-11,38.2
2018-04-12,38.5
2018-04-13,39.0
2018-04-14,40.0
2018-04-15,38.2
2018-04-16,37.3
2018-04-17,40.3
2018-04-18,41.5
2018-04-19,42.9
2018-04-20,42.9
2018-04-21,43.5
2018-04-22,43.5
2018-04-23,43.3
2018-04-24,43.2
2018-04-25,43.1
2018-04-26,42.7
2018-04-27,42.8
2018-04-28,42.9
2018-04-29,42.8
2018-04-30,43.6
2018-05-01,44.1
2018-05-02,43.2
2018-05-03,42.9
2018-05-04,40.2
2018-05-05,41.0
2018-05-06,42.9
2018-05-07,42.8
2018-05-08,43.5
2018-05-09,43.0
2018-05-10,43.0
2018-05-11,42.8
2018-05-12,44.4
2018-05-13,43.7
2018-05-14,41.3
2018-05-15,42.6
2018-05-16,40.6
2018-05-17,42.8
2018-05-18,43.0
2018-05-19,43.8
2018-05-20,44.5
2018-05-21,44.6
2018-05-22,42.8
2018-05-23,42.8
2018-05-24,42.7
2018-05-25,43.2
2018-05-26,42.9
2018-05-27,42.3
2018-05-28,42.9
2018-05-29,44.3
2018-05-30,44.8
2018-05-31,44.4
2018-06-01,41.3
2018-06-02,42.7
2018-06-03,35.7
2018-06-04,42.8
2018-06-05,42.6
2018-06-06,39.8
2018-06-07,42.0
2018-06-08,39.6
2018-06-09,36.4
2018-06-10,37.3
2018-06-11,37.9
2018-06-12,34.6
2018-06-13,37.7
2018-06-14,38.8
2018-06-15,38.0
2018-06-16,40.0
2018-06-17,39.8
2018-06-18,39.5
2018-06-19,38.7
2018-06-20,39.6
2018-06-21,39.8
2018-06-22,40.3
2018-06-23,37.6
2018-06-24,35.9
2018-06-25,37.1
2018-06-26,37.8
2018-06-27,35.8
2018-06-28,36.6
2018-06-29,31.9
2018-06-30,36.1
2018-07-01,38.0
2018-07-02,37.3
2018-07-03,38.0
2018-07-04,34.6
2018-07-05,37.3
2018-07-06,37.2
2018-07-07,32.4
2018-07-08,32.4
2018-07-09,29.7
2018-07-10,30.6
2018-07-11,31.7
2018-07-12,32.6
2018-07-13,32.3
2018-07-14,34.8
2018-07-15,32.4
2018-07-16,32.4
2018-07-17,31.0
2018-07-18,33.5
2018-07-19,35.5
2018-07-20,36.1
2018-07-21,34.1
2018-07-22,30.5
2018-07-23,32.3
2018-07-24,33.4
2018-07-25,35.2
2018-07-26,35.4
2018-07-27,32.6
2018-07-28,36.1
2018-07-29,35.1
2018-07-30,35.3
2018-07-31,37.2
2018-08-01,34.9
2018-08-02,37.2
2018-08-03,34.9
2018-08-04,37.4
2018-08-05,37.5
2018-08-06,37.4
2018-08-07,34.9
2018-08-08,33.0
2018-08-09,32.1
2018-08-10,37.2
2018-08-11,34.9
2018-08-12,28.0
2018-08-13,32.4
2018-08-14,34.6
2018-08-15,34.6
2018-08-16,30.5
2018-08-17,30.1
2018-08-18,31.0
2018-08-19,32.5
2018-08-20,30.6
2018-08-21,27.4
2018-08-22,32.5
2018-08-23,35.0
2018-08-24,34.7
2018-08-25,35.3
2018-08-26,35.0
2018-08-27,32.5
2018-08-28,32.5
2018-08-29,34.6
2018-08-30,35.1
2018-08-31,35.2
2018-09-01,34.6
2018-09-02,35.0
2018-09-03,35.4
2018-09-04,36.2
2018-09-05,35.9
2018-09-06,35.0
2018-09-07,35.0
2018-09-08,32.6
2018-09-09,36.1
2018-09-10,36.6
2018-09-11,36.6
2018-09-12,36.6
2018-09-13,36.3
2018-09-14,36.8
2018-09-15,36.7
2018-09-16,36.9
2018-09-17,36.7
2018-09-18,36.7
2018-09-19,36.3
2018-09-20,34.3
2018-09-21,35.0
2018-09-22,27.4
2018-09-23,36.2
2018-09-24,36.5
2018-09-25,36.3
2018-09-26,36.7
2018-09-27,36.4
2018-09-28,36.6
2018-09-29,36.5
2018-09-30,36.1
2018-10-01,36.6
2018-10-02,36.2
2018-10-03,36.8
2018-10-04,36.8
2018-10-05,37.0
2018-10-06,36.8
2018-10-07,36.7
2018-10-08,36.6
2018-10-09,36.7
2018-10-10,36.9
2018-10-11,35.9
2018-10-12,35.1
2018-10-13,35.1
2018-10-14,36.8
2018-10-15,36.4
2018-10-16,36.1
2018-10-17,36.0
2018-10-18,37.0
2018-10-19,36.5
2018-10-20,36.5
2018-10-21,37.0
2018-10-22,36.5
2018-10-23,37.0
2018-10-24,36.6
