Date,Max_temp
2018-01-01,35.4
2018-01-02,36.3
2018-01-03,34.9
2018-01-04,34.9
2018-01-05,34.6
2018-01-06,34.9
2018-01-07,34.9
2018-01-08,32.84
2018-01-09,32.4
2018-01-10,34.9
2018-01-11,35.5
2018-01-12,36.0
2018-01-13,35.1
2018-01-14,35.0
2018-01-15,34.9
2018-01-16,35.7
2018-01-17,34.9
2018-01-18,34.9
2018-01-19,34.9
2018-01-20,34.9
2018-01-21,34.9
2018-01-22,34.9
2018-01-23,33.5
2018-01-24,34.9
2018-01-25,34.8
2018-01-26,35.5
2018-01-27,34.7
2018-01-28,34.6
2018-01-29,35.1
2018-01-30,34.7
2018-01-31,34.9
2018-02-01,36.0
2018-02-02,36.3
2018-02-03,35.9
2018-02-04,35.7
2018-02-05,35.0
2018-02-06,34.6
2018-02-07,35.9
2018-02-08,34.8
2018-02-09,35.9
2018-02-10,36.4
2018-02-11,36.1
2018-02-12,32.3
2018-02-13,35.3
2018-02-14,35.7
2018-02-15,36.0
2018-02-16,36.0
2018-02-17,36.0
2018-02-18,36.9
2018-02-19,36.4
2018-02-20,36.8
2018-02-21,37.4
2018-02-22,37.4
2018-02-23,37.2
2018-02-24,37.5
2018-02-25,37.4
2018-02-26,37.8
2018-02-27,39.0
2018-02-28,39.1
2018-03-01,39.4
2018-03-02,38.5
2018-03-03,38.8
2018-03-04,40.3
2018-03-05,38.3
2018-03-06,39.1
2018-03-07,37.9
2018-03-08,38.0
2018-03-09,38.2
2018-03-10,38.0
2018-03-11,37.9
2018-03-12,37.9
2018-03-13,37.9
2018-03-14,38.1
2018-03-15,38.9
2018-03-16,37.9
2018-03-17,35.6
2018-03-18,33.1
2018-03-19,38.4
2018-03-20,39.0
2018-03-21,38.0
2018-03-22,38.1
2018-03-23,40.3
2018-03-24,40.7
2018-03-25,40.3
2018-03-26,37.9
2018-03-27,38.1
2018-03-28,39.7
2018-03-29,39.4
2018-03-30,40.3
2018-03-31,41.0
2018-04-01,38.0
2018-04-02,40.3
2018-04-03,37.9
2018-04-04,38.9
2018-04-05,38.7
2018-04-06,39.3
2018-04-07,39.0
2018-04-08,39.2
2018-04-09,37.9
2018-04-10,38.8
2018-04-11,38.9
2018-04-12,39.3
2018-04-13,40.3
2018-04-14,40.3
2018-04-15,40.3
2018-04-16,39.5
2018-04-17,41.2
2018-04-18,42.1
2018-04-19,43.2
2018-04-20,43.1
2018-04-21,43.5
2018-04-22,43.5
2018-04-23,43.3
2018-04-24,42.6
2018-04-25,42.9
2018-04-26,42.5
2018-04-27,42.7
2018-04-28,42.9
2018-04-29,42.8
2018-04-30,42.6
2018-05-01,43.5
2018-05-02,42.9
2018-05-03,42.7
2018-05-04,36.2
2018-05-05,39.8
2018-05-06,42.3
2018-05-07,42.5
2018-05-08,43.0
2018-05-09,43.7
2018-05-10,42.8
2018-05-11,42.4
2018-05-12,43.0
2018-05-13,42.9
2018-05-14,43.6
2018-05-15,42.3
2018-05-16,39.8
2018-05-17,42.5
2018-05-18,42.8
2018-05-19,42.7
2018-05-20,43.7
2018-05-21,42.9
2018-05-22,42.4
2018-05-23,42.8
2018-05-24,41.8
2018-05-25,41.4
2018-05-26,41.0
2018-05-27,41.8
2018-05-28,42.6
2018-05-29,42.7
2018-05-30,44.8
2018-05-31,44.2
2018-06-01,42.4
2018-06-02,42.6
2018-06-03,34.8
2018-06-04,41.2
2018-06-05,42.4
2018-06-06,42.2
2018-06-07,38.4
2018-06-08,37.8
2018-06-09,37.9
2018-06-10,37.5
2018-06-11,37.8
2018-06-12,35.7
2018-06-13,37.7
2018-06-14,38.4
2018-06-15,38.0
2018-06-16,40.0
2018-06-17,39.8
2018-06-18,39.4
2018-06-19,39.5
2018-06-20,39.7
2018-06-21,39.9
2018-06-22,41.1
2018-06-23,38.3
2018-06-24,38.3
2018-06-25,38.7
2018-06-26,38.3
2018-06-27,38.1
2018-06-28,37.6
2018-06-29,32.6
2018-06-30,37.2
2018-07-01,37.9
2018-07-02,37.2
2018-07-03,38.0
2018-07-04,37.2
2018-07-05,38.0
2018-07-06,37.5
2018-07-07,37.5
2018-07-08,30.3
2018-07-09,32.4
2018-07-10,33.2
2018-07-11,34.9
2018-07-12,32.4
2018-07-13,30.2
2018-07-14,33.2
2018-07-15,32.4
2018-07-16,32.4
2018-07-17,32.4
2018-07-18,37.2
2018-07-19,37.6
2018-07-20,35.8
2018-07-21,29.8
2018-07-22,34.9
2018-07-23,34.9
2018-07-24,37.5
2018-07-25,37.5
2018-07-26,37.5
2018-07-27,37.6
2018-07-28,37.5
2018-07-29,36.1
2018-07-30,37.5
2018-07-31,37.7
2018-08-01,37.5
2018-08-02,37.7
2018-08-03,37.5
2018-08-04,37.5
2018-08-05,37.5
2018-08-06,37.5
2018-08-07,37.5
2018-08-08,35.8
2018-08-09,36.2
2018-08-10,37.5
2018-08-11,37.3
2018-08-12,29.8
2018-08-13,32.4
2018-08-14,32.4
2018-08-15,37.4
2018-08-16,30.6
2018-08-17,37.2
2018-08-18,35.5
2018-08-19,35.1
2018-08-20,28.4
2018-08-21,34.2
2018-08-22,35.0
2018-08-23,35.9
2018-08-24,35.5
2018-08-25,35.1
2018-08-26,35.7
2018-08-27,35.3
2018-08-28,35.4
2018-08-29,35.3
2018-08-30,35.7
2018-08-31,36.2
2018-09-01,35.5
2018-09-02,35.9
2018-09-03,36.1
2018-09-04,36.1
2018-09-05,36.2
2018-09-06,36.3
2018-09-07,36.0
2018-09-08,35.8
2018-09-09,36.6
2018-09-10,36.7
2018-09-11,37.1
2018-09-12,37.0
2018-09-13,37.3
2018-09-14,37.0
2018-09-15,37.1
2018-09-16,37.2
2018-09-17,37.2
2018-09-18,36.3
2018-09-19,36.7
2018-09-20,36.7
2018-09-21,36.4
2018-09-22,35.5
2018-09-23,36.7
2018-09-24,37.2
2018-09-25,37.0
2018-09-26,37.1
2018-09-27,37.0
2018-09-28,36.7
2018-09-29,37.0
2018-09-30,37.1
2018-10-01,36.9
2018-10-02,36.8
2018-10-03,36.9
2018-10-04,36.9
2018-10-05,37.0
2018-10-06,36.7
2018-10-07,37.0
2018-10-08,37.0
2018-10-09,36.9
2018-10-10,37.0
2018-10-11,36.5
2018-10-12,35.5
2018-10-13,36.8
2018-10-14,37.0
2018-10-15,37.0
2018-10-16,36.6
2018-10-17,36.6
2018-10-18,36.8
2018-10-19,36.6
2018-10-20,37.0
2018-10-21,36.9
2018-10-22,36.9
2018-10-23,37.1
2018-10-24,37.1
2018-10-25,37.0
2018-10-26,36.7
2018-10-27,36.1
2018-10-28,37.1
2018-10-29,36.2
2018-10-30,36.8
2018-10-31,37.0
2018-11-01,36.1
2018-11-02,36.2
2018-11-03,36.6
2018-11-04,36.8
2018-11-05,37.1
2018-11-06,36.5
2018-11-07,36.8
2018-11-08,36.9
2018-11-09,36.7
2018-11-10,36.9
2018-11-11,36.8
2018-11-12,36.6
2018-11-13,35.8
2018-11-14,36.1
2018-11-15,37.0
2018-11-16,36.8
2018-11-17,36.8
2018-11-18,36.8
2018-11-19,36.8
2018-11-20,36.8
2018-11-21,36.4
2018-11-22,35.9
2018-11-23,33.2
2018-11-24,35.9
2018-11-25,35.2
2018-11-26,35.9
2018-11-27,35.1
2018-11-28,36.7
2018-11-29,35.6
2018-11-30,34.9
2018-12-01,34.7
2018-12-02,34.7
2018-12-03,34.9
2018-12-04,34.7
2018-12-05,34.7
2018-12-06,34.8
2018-12-07,35.7
2018-12-08,35.6
2018-12-09,36.7
2018-12-10,36.7
2018-12-11,34.8
2018-12-12,35.0
2018-12-13,36.0
2018-12-14,34.9
2018-12-15,34.8
2018-12-16,34.6
2018-12-17,28.4
2018-12-18,27.7
2018-12-19,31.1
2018-12-20,32.1
2018-12-21,34.6
2018-12-22,33.7
2018-12-23,35.5
2018-12-24,35.5
2018-12-25,35.5
2018-12-26,35.5
2018-12-27,35.7
2018-12-28,35.5
2018-12-29,33.0
2018-12-30,33.5
2018-12-31,33.4
2019-01-01,32.9
2019-01-02,34.0
2019-01-03,35.5
2019-01-04,35.5
2019-01-05,35.8
2019-01-06,34.6
2019-01-07,34.6
2019-01-08,35.4
2019-01-09,35.8
2019-01-10,35.5
2019-01-11,34.6
2019-01-12,35.5
2019-01-13,34.6
2019-01-14,35.5
2019-01-15,35.5
2019-01-16,35.5
2019-01-17,35.5
2019-01-18,34.6
2019-01-19,34.7
2019-01-20,35.8
2019-01-21,35.4
2019-01-22,35.6
2019-01-23,34.6
2019-01-24,35.7
2019-01-25,34.6
2019-01-26,34.6
2019-01-27,35.8
2019-01-28,33.3
2019-01-29,33.7
2019-01-30,32.4
2019-01-31,34.6
2019-02-01,34.6
2019-02-02,34.9
2019-02-03,35.1
2019-02-04,35.3
2019-02-05,35.7
2019-02-06,35.5
2019-02-07,35.8
2019-02-08,35.3
2019-02-09,35.2
2019-02-10,35.1
2019-02-11,35.7
2019-02-12,35.8
2019-02-13,35.4
2019-02-14,36.1
2019-02-15,36.8
2019-02-16,35.8
2019-02-17,35.4
2019-02-18,36.0
2019-02-19,37.8
2019-02-20,37.4
2019-02-21,37.7
2019-02-22,37.7
2019-02-23,38.0
2019-02-24,38.9
2019-02-25,39.2
2019-02-26,39.3
2019-02-27,37.9
2019-02-28,36.8
2019-03-01,36.8
2019-03-02,37.9
2019-03-03,37.9
2019-03-04,37.9
2019-03-05,37.8
2019-03-06,38.0
2019-03-07,39.1
2019-03-08,38.3
2019-03-09,38.8
2019-03-10,38.9
2019-03-11,38.0
2019-03-12,39.8
2019-03-13,39.1
2019-03-14,39.5
2019-03-15,40.2
2019-03-16,39.7
2019-03-17,39.3
2019-03-18,39.6
2019-03-19,37.9
2019-03-20,37.9
2019-03-21,37.9
2019-03-22,38.4
2019-03-23,39.3
2019-03-24,39.7
2019-03-25,39.8
2019-03-26,39.7
2019-03-27,39.4
2019-03-28,39.9
2019-03-29,41.4
2019-03-30,40.6
2019-03-31,42.3
2019-04-01,41.7
2019-04-02,40.1
2019-04-03,39.8
2019-04-04,41.7
2019-04-05,40.0
2019-04-06,41.0
2019-04-07,41.8
2019-04-08,41.5
2019-04-09,40.6
2019-04-10,40.9
2019-04-11,42.4
2019-04-12,42.1
2019-04-13,42.1
2019-04-14,42.5
2019-04-15,43.0
2019-04-16,42.8
2019-04-17,42.5
2019-04-18,41.0
2019-04-19,40.9
2019-04-20,41.9
2019-04-21,41.0
2019-04-22,41.7
2019-04-23,41.1
2019-04-24,42.4
2019-04-25,42.3
2019-04-26,43.2
2019-04-27,43.3
2019-04-28,43.3
2019-04-29,43.5
2019-04-30,44.0
2019-05-01,43.0
2019-05-02,42.1
2019-05-03,44.1
2019-05-04,42.6
2019-05-05,45.1
2019-05-06,46.3
2019-05-07,46.2
2019-05-08,45.3
2019-05-09,45.9
2019-05-10,46.4
2019-05-11,46.2
2019-05-12,44.0
2019-05-13,42.2
2019-05-14,42.5
2019-05-15,41.9
2019-05-16,43.9
2019-05-17,43.2
2019-05-18,42.5
2019-05-19,45.1
2019-05-20,44.8
2019-05-21,45.0
2019-05-22,44.0
2019-05-23,44.1
2019-05-24,41.9
2019-05-25,44.7
2019-05-26,45.6
2019-05-27,46.5
2019-05-28,45.0
2019-05-29,45.1
2019-05-30,44.2
2019-05-31,39.3
2019-06-01,42.1
2019-06-02,42.1
2019-06-03,43.7
2019-06-04,42.7
2019-06-05,42.2
2019-06-06,45.0
2019-06-07,42.7
2019-06-08,42.5
2019-06-09,42.5
2019-06-10,43.7
2019-06-11,41.4
2019-06-12,42.6
2019-06-13,43.3
