Date,Max_temp
2018-01-01,35.0
2018-01-02,36.2
2018-01-03,34.6
2018-01-04,34.7
2018-01-05,33.2
2018-01-06,35.5
2018-01-07,34.3
2018-01-08,34.1
2018-01-09,33.2
2018-01-10,32.7
2018-01-11,32.8
2018-01-12,35.9
2018-01-13,34.9
2018-01-14,35.0
2018-01-15,34.9
2018-01-16,35.7
2018-01-17,35.8
2018-01-18,35.9
2018-01-19,34.9
2018-01-20,36.0
2018-01-21,34.9
2018-01-22,34.6
2018-01-23,34.6
2018-01-24,34.6
2018-01-25,34.4
2018-01-26,34.6
2018-01-27,35.7
2018-01-28,35.3
2018-01-29,36.0
2018-01-30,35.9
2018-01-31,36.1
2018-02-01,35.6
2018-02-02,36.1
2018-02-03,35.9
2018-02-04,35.7
2018-02-05,35.5
2018-02-06,35.9
2018-02-07,35.6
2018-02-08,35.7
2018-02-09,35.4
2018-02-10,34.6
2018-02-11,32.1
2018-02-12,35.8
2018-02-13,35.3
2018-02-14,34.8
2018-02-15,33.6
2018-02-16,35.3
2018-02-17,36.0
2018-02-18,36.0
2018-02-19,36.8
2018-02-20,36.4
2018-02-21,36.8
2018-02-22,37.2
2018-02-23,37.3
2018-02-24,37.5
2018-02-25,37.9
2018-02-26,37.8
2018-02-27,37.9
2018-02-28,38.0
2018-03-01,38.8
2018-03-02,37.9
2018-03-03,39.3
2018-03-04,38.7
2018-03-05,40.3
2018-03-06,40.3
2018-03-07,40.4
2018-03-08,37.8
2018-03-09,37.9
2018-03-10,37.8
2018-03-11,37.9
2018-03-12,37.5
2018-03-13,38.9
2018-03-14,39.9
2018-03-15,40.3
2018-03-16,38.0
2018-03-17,32.1
2018-03-18,35.7
2018-03-19,38.0
2018-03-20,38.0
2018-03-21,39.3
2018-03-22,38.9
2018-03-23,40.3
2018-03-24,40.3
2018-03-25,40.3
2018-03-26,39.6
2018-03-27,40.9
2018-03-28,41.1
2018-03-29,41.9
2018-03-30,41.7
2018-03-31,41.2
2018-04-01,41.7
2018-04-02,40.3
2018-04-03,38.8
2018-04-04,40.9
2018-04-05,41.2
2018-04-06,41.1
2018-04-07,39.9
2018-04-08,38.6
2018-04-09,37.7
2018-04-10,38.1
2018-04-11,39.3
2018-04-12,38.4
2018-04-13,39.6
2018-04-14,40.5
2018-04-15,40.3
2018-04-16,38.5
2018-04-17,40.9
2018-04-18,42.9
2018-04-19,42.9
